,genre,ranking,title,year,link
57,action__adventure,58,The Bridge on the River Kwai,1957,https://www.rottentomatoes.com/m/bridge_on_the_river_kwai
58,action__adventure,59,Hunt for the Wilderpeople,2016,https://www.rottentomatoes.com/m/hunt_for_the_wilderpeople
59,action__adventure,60,Chicken Run,2000,https://www.rottentomatoes.com/m/chicken_run
60,action__adventure,61,Doctor Strange,2016,https://www.rottentomatoes.com/m/doctor_strange_2016
61,action__adventure,62,Yellow Submarine,1968,https://www.rottentomatoes.com/m/beatles_the_yellow_submarine
62,action__adventure,63,Dawn Of The Planet Of The Apes,2014,https://www.rottentomatoes.com/m/dawn_of_the_planet_of_the_apes
63,action__adventure,64,The Princess Bride,1987,https://www.rottentomatoes.com/m/princess_bride
64,action__adventure,65,Goldfinger,1964,https://www.rottentomatoes.com/m/goldfinger
65,action__adventure,66,Paths of Glory,1957,https://www.rottentomatoes.com/m/paths_of_glory
66,action__adventure,67,Ghostbusters (1984 Original),1984,https://www.rottentomatoes.com/m/ghostbusters
67,action__adventure,68,All Is Lost,2013,https://www.rottentomatoes.com/m/all_is_lost_2013
68,action__adventure,69,X-Men: Days of Future Past,2014,https://www.rottentomatoes.com/m/x_men_days_of_future_past
69,action__adventure,70,No Country for Old Men,2007,https://www.rottentomatoes.com/m/no_country_for_old_men
70,action__adventure,71,Looper,2012,https://www.rottentomatoes.com/m/looper
71,action__adventure,72,Ran,1985,https://www.rottentomatoes.com/m/ran
72,action__adventure,73,A Fistful of Dollars (Per un Pugno di Dollari),1964,https://www.rottentomatoes.com/m/fistful_of_dollars
73,action__adventure,74,The Lord of the Rings: The Two Towers,2002,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_two_towers
74,action__adventure,75,Spartacus,1960,https://www.rottentomatoes.com/m/1019544-spartacus
75,action__adventure,76,Assault on Precinct 13,1976,https://www.rottentomatoes.com/m/1001280-assault_on_precinct_13
76,action__adventure,77,The Right Stuff,1983,https://www.rottentomatoes.com/m/right_stuff
77,action__adventure,78,Back to the Future,1985,https://www.rottentomatoes.com/m/back_to_the_future
78,action__adventure,79,Sicario,2015,https://www.rottentomatoes.com/m/sicario_2015
79,action__adventure,80,The Fugitive,1993,https://www.rottentomatoes.com/m/1046129-fugitive
80,action__adventure,81,The Lego Batman Movie,2017,https://www.rottentomatoes.com/m/the_lego_batman_movie
81,action__adventure,82,"Crouching Tiger, Hidden Dragon",2001,https://www.rottentomatoes.com/m/crouching_tiger_hidden_dragon
82,action__adventure,83,The Lion King,1994,https://www.rottentomatoes.com/m/the_lion_king
83,action__adventure,84,Godzilla (Gojira),1954,https://www.rottentomatoes.com/m/godzilla_1956
84,action__adventure,85,Who Framed Roger Rabbit,1988,https://www.rottentomatoes.com/m/who_framed_roger_rabbit
85,action__adventure,86,Diva,1981,https://www.rottentomatoes.com/m/1005973-diva
86,action__adventure,87,Deadpool 2,2018,https://www.rottentomatoes.com/m/deadpool_2
87,action__adventure,88,Captain America: The Winter Soldier,2014,https://www.rottentomatoes.com/m/captain_america_the_winter_soldier_2014
88,action__adventure,89,Jurassic Park,1993,https://www.rottentomatoes.com/m/jurassic_park
89,action__adventure,90,Babe,1995,https://www.rottentomatoes.com/m/1065598-babe
90,action__adventure,91,In the Line of Fire,1993,https://www.rottentomatoes.com/m/in_the_line_of_fire
91,action__adventure,92,Raiders of the Lost Ark,1981,https://www.rottentomatoes.com/m/raiders_of_the_lost_ark
92,action__adventure,93,The Lord of the Rings: The Return of the King,2003,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king
93,action__adventure,94,Superman,1978,https://www.rottentomatoes.com/m/superman_the_movie
94,action__adventure,95,Guardians of the Galaxy Vol. 2,2017,https://www.rottentomatoes.com/m/guardians_of_the_galaxy_vol_2
95,action__adventure,96,Embrace Of The Serpent (El Abrazo De La Serpiente),2016,https://www.rottentomatoes.com/m/embrace_of_the_serpent
96,action__adventure,97,Saving Private Ryan,1998,https://www.rottentomatoes.com/m/saving_private_ryan
